CAS No	Chemical Name	IUPAC Name	Hazard Classification
61790-85-0	"Amines, N-tallow alkyltrimethylenedi-, ethoxylated"	-	
61791-14-8	"Amines, coco alkyl, ethoxylated"	-	
61791-26-2	"Amines, tallow alkyl, ethoxylated"	-	
61791-39-7	"1H-imidazole-1-ethanol, 4,5-dihydro-, 2-nortall-oil alkyl derivs."	-	
61791-39-7	"1-H-imidazole-1-ethanol, 4-5-dihydro-, 2-nortall-oil alkyl derivs."	-	
61791-44-4	"Ethanol, 2,2'-iminobis-, N-tallow alkyl derivatives"	-	
61791-53-5	"Amines, N-tallow alkyltrimethylenedi-, oleates"	-	
61791-55-7	"Amines, N-tallow alkyltrimethylenedi-"	-	
61791-64-8	"Amines, N-coco-alkyltrimethylenedi-, acetates"	-	
61820-31-3	Diethyl isopropylphosphonite	Diethyl isopropylphosphonite	
62-23-7	4-nitrobenzoic acid	-	
62-53-3	Aniline and homologues	Aminobenzene	
62-56-6	Thiourea	Thiocarbamide	
62-73-7	Dichlorvos	"2,2-dichloroethenyl dimethyl phosphate"	
62-74-8	Sodium fluoroaccetate	-	
62-75-9	N-Nitrosodimethylamine	"N,N-dimethylnitrous amide"	
623-17-6	Furfuryl acetate	-	
623-53-0	"Carbonic acid, ethyl methyl ester"	-	
62314-25-4	(2-hydroxypropyl)trimethylammonium formate	-	
624-64-6	(E)-but-2-ene	-	
624-83-9	Methyl isocyanate	methylimino-oxo-methane	
624-92-0	Dimethyl Disulphide	-	
62507-64-6	O-Cyclohexyl O-methyl methylphosphonothionate	-	
62507-64-6	O-Cyclohexyl O-methyl methylphosphonothionate	O-Cyclohexyl O-methyl methylphosphonothionate	
62507-65-7	O-Cyclohexyl O-ethyl methylphosphonothionate	-	
62507-66-8	O-Cyclohexyl O-isopropyl methylphosphonothionate	-	
62507-66-8	O-Cyclohexyl O-isopropyl methylphosphonothionate	O-Cyclohexyl O-isopropyl methylphosphonothionate	
62507-66-8	O-Cyclohexyl O-isopropyl methylphosphonothionate	-	
62507-67-9	O-Butyl O-cyclohexyl methylphosphonothionate	-	
62507-68-0	O-Cyclohexyl O-methyl ethylphosphonothionate	-	
62507-69-1	O-Cyclohexyl O-ethyl ethylphosphonothionate	-	
62507-69-1	O-Cyclohexyl O-ethyl ethylphosphonothionate	-	
62507-70-4	O-Cyclohexyl O-propyl ethylphosphonothionate	-	
62507-71-5	O-Cyclohexyl O-ethyl propylphosphonothionate	-	
62507-72-6	O-Cyclohexyl O-ethyl isopropylphosphonothionate	-	
62512-68-9	Ethyl S-2-dipropylaminoethyl methylphosphonothiolate	Ethyl S-2-dipropylaminoethyl methylphosphonothiolate	
6259-76-3	Hexyl salicylate	-	
626-17-5	m-Phthalodinitrile	"benzene-1,3-dicarbonitrile"	
626-38-0	sec-Amyl acetate	1-Methylbutyl acetate	
627-13-4	n-Propyl nitrate	Propyl nitrate	
627-83-8	Ethylene Glycol Distearate	-	
627-93-0	Dimethyl adipate	-	
627860-31-5	Butyl ethyl isopropylphosphonate	-	
628-63-7	n-Amyl acetate	pentyl ethanoate	
628-96-6	Ethylene glycol dinitrate	Ethylene glycol dinitrate	
62869-68-5	(S)-3-Quinuclidinyl benzilate	(S)-3-Quinuclidinyl benzilate	
62869-69-6	(R)-3-Quinuclidinyl benzilate	(R)-3-Quinuclidinyl benzilate	
629-59-4	Tetradecane	-	
629-73-2	Hexadec-1-ene	-	
629-97-0	Docosane	-	
62967-94-6	O-Pentyl methylphosphonothionofluoridate	-	
63-25-22	Carbaryl	1-naphthyl methylcarbamate	
630-08-0	Carbon monoxide	Carbon monoxide	
631-61-8	Ammonium Acetate	-	
63132-34-3	O-Isobutyl ethylphosphonothionochloridate	-	
63148-65-2	Butvar B-98	-	
6317-18-6	methylene dithiocyanate	-	
63210-55-9	2-(N-Ethyl-N-methylamino)ethanethiol	-	
63299-52-5	"2-Methyl-1,3,2-dioxaphosphepane-2-oxide"	-	
63393-89-5	Coumarone indene resins	-	
63449-39-8	"Paraffin waxes and Hydrocarbon waxes, chloro"	-	
63449-41-2	"Quaternary ammonium compounds, benzyl-C8-18-alkyldimethyl, chlorides"	-	
63449-41-2	"quaternary ammonium compounds, benzyl-C8-18-alkyldimethyl, chlorides"	-	
63500-71-0	"tetrahydro-2-isobutyl-4-methylpyran-4-ol, mixed isomers (cis and trans)"	-	
6358-30-1	"8,18-dichloro-5,15-diethyl-5,15-dihydrodiindolo[3,2-b:3',2'-m]triphenodioxazine"	-	
63641-59-8	"Betaines, (C12-18-amidoalkyl)dimethyl"	-	
637-92-3	2-ethoxy-2-methylpropane	-	
638-21-1	Phenylphosphine	-	
6381-77-7	"2,3-didehydro-3-O-sodio-D-erythro-hexono-1,4-lactone"	-	
6381-92-6	"Ethylenediaminetetraacetic acid, tetrasodium salt"	-	
63815-55-4	"Isopropyl N,N-dimethylphosphoramidocyanidate"	"Isopropyl N,N-dimethylphosphoramidocyanidate"	
63815-56-5	"Methyl N,N-dimethylphosphoramidocyanidate"	"Methyl N,N-dimethylphosphoramidocyanidate"	
63815-60-1	"Ethyl N,N-diethylphosphoramidocyanidate"	"Ethyl N,N-diethylphosphoramidocyanidate"	
63869-13-6	Bis(2-chloroethylthio)methane	Bis(2-chloroethylthio)methane	
63905-10-2	"1,3-Bis(2-chloroethylthio)propane"	"1,3-Bis(2-chloroethylthio)propane"	
63918-89-8	Bis(2-chloroethylthioethyl)ether	Bis(2-chloroethylthioethyl)ether	
63918-90-1	Bis(2-chloroethylthiomethyl)ether	Bis(2-chloroethylthiomethyl)ether	
64-02-8	Tetrasodium ethylene diamine tetraacetate	-	
64-02-8	tetrasodium ethylene diamine tetraacetate	-	
64-17-5	ethanol ethyl alcohol	-	
64-17-5	ethanol ethyl alcohol	-	
64-17-5	Ethanol	Ethanol	
64-18-6	Formic Acid	-	
64-18-6	formic acid … %	-	
64-18-6	Formic acid	formic acid	
64-19-7	Acetic acid	-	
64-19-7	Acetic acid	Ethanoic acid	
6410-41-9	"N-(5-chloro-2,4-dimethoxyphenyl)-4-[[5-[(diethylamino)sulphonyl]-2-methoxyphenyl]azo]-3-hydroxynaphthalene-2-carboxamide"	-	
6410-56-6	Dipropyl methylphosphonate	-	
6419-19-8	Nitrilotrimethylenetris(phosphonic acid)	-	
6419-19-8	Nitrilotrimethylenetris(phosphonic acid)	-	
6423-43-4	Propylene glycol dinitrate	1-Nitrooxypropan-2-yl nitrate	
64359-81-5	"4,5-dichloro-2-octyl-2H-isothiazol-3-one"	-	
6440-58-0	"1,3-bis(hydroxymethyl)-5,5-dimethylimidazolidine-2,4-dione"	-	
64425-86-1	"Alcohols, C13-15, ethoxylated"	-	
64581-67-5	O-Isopropyl ethylphosphonothionochloridate	-	
64581-68-6	O-sec-Butyl methylphosphonothionochloridate	-	
646-06-0	"1,3-dioxolane"	-	
646-31-1	Tetracosane	-	
64665-57-2	Sodium 4(or 5)-methyl-1H-benzotriazolide	-	
64741-41-9	"Naphtha (petroleum), heavy straight-run"	-	
64741-41-9	"Naphtha (petroleum), heavy straight-run Low boiling point naphtha"	-	
64741-42-0	"Naphtha (petroleum), full-range straight-run"	-	
64741-45-3	"Residues (petroleum), atm. tower"	-	
64741-46-4	"Naphtha (petroleum), light straight-run"	-	
64741-47-5	Natural Gas Condensate (petroleum)	-	
64741-57-7	"Gas oils (petroleum), heavy vacuum"	-	
64741-58-8	"Gas oils (petroleum), light vacuum"	-	
64741-58-8	"Gas oils (petroleum), light vacuum"	-	
64741-59-9	"Distillates (petroleum), light catalytic cracked Cracked gasoil"	-	
64741-62-4	"Clarified oils (petroleum), catalytic cracked Heavy Fuel oil"	-	
64741-65-7	"Naphtha (petroleum), heavy alkylate"	-	
64741-66-8	"Naphtha (petroleum), light alkylate"	-	
64741-66-8	"Naphtha (petroleum), light alkylate Low boiling point modified naphtha"	-	
64741-68-0	"Naphtha (petroleum), heavy catalytic reformed"	-	
64741-69-1	"Naphtha (petroleum), light hydrocracked"	-	
64741-70-4	"Naphtha (petroleum), isomerization"	-	
64741-75-9	"Residues (petroleum), hydrocracked"	-	
64741-85-1	"Raffinates (petroleum), sorption process"	-	
64741-88-4	"Distillates (petroleum), solvent-refined heavy paraffinic"	-	
64741-89-5	"Distillates (petroleum), solvent-refined light paraffinic"	-	
64741-89-5	"Distillates (petroleum), solvent-refined light paraffinic"	-	
64742-01-4	"Residual oils (petroleum,) solvent-refined Baseoil - unspecified"	-	
64742-04-7	"Extracts (petroleum), heavy paraffinic distillate solvent"	-	
64742-04-7	"Extracts (petroleum), heavy paraffinic distillate solvent"	-	
64742-10-5	"Extracts (petroleum), residual oil solvent"	-	
64742-11-6	"Extracts (petroleum), heavy naphthenic distillate solvent"	-	
64742-14-9	"Distillates (Petroleum), Acid Treated, Light"	-	
64742-16-1	Petroleum resins	-	
64742-43-4	"Paraffin waxes (petroleum), clay-treated"	-	
64742-45-6	"Distillates (petroleum), clay-treated light naphthenic Baseoil - unspecified"	-	
64742-46-7	"Distillates (petroleum), hydrotreated middle"	-	
64742-46-7	"Distillates (petroleum), hydrotreated middle"	-	
64742-47-8	"Distillates (petroleum), hydrotreated light"	-	
64742-47-8	"Distillates (petroleum), hydrotreated light"	-	
64742-47-8	"Distillates (petroleum), hydrotreated light"	-	
64742-48-9	"Naphtha (petroleum), hydrotreated heavy"	-	
64742-49-0	"Naphtha (petroleum), hydrotreated light"	-	
64742-49-0	"Naphtha (petroleum), hydrotreated light Low boiling point hydrogen treated naphtha"	-	
64742-52-5	"Distillates (petroleum), hydrotreated heavy naphthenic"	-	
64742-52-5	"Distillates (petroleum), hydrotreated heavy naphthenic"	-	
64742-52-5	"Distillates (petroleum), hydrotreated heavy naphthenic"	-	
64742-54-7	"Distillates (petroleum), hydrotreated heavy paraffinic"	-	
64742-55-8	"Distillates (petroleum), hydrotreated light paraffinic"	-	
64742-56-9	"Distillates (petroleum), solvent-dewaxed light paraffinic"	-	
64742-61-6	Slack wax (petroleum) Slack wax	-	
64742-62-7	"Residual oils (petroleum), solvent-dewaxed Baseoil - unspecified"	-	
64742-65-0	"Distillates (petroleum),solvent-dewaxed heavy paraffinic"	-	
64742-65-0	"Distillates (petroleum), solvent-dewaxed heavy paraffinic"	-	
64742-71-8	"Paraffin oils (petroleum), catalytic dewaxed light Baseoil - unspecified"	-	
64742-80-9	"Distillates (petroleum), hydrodesulfurized middle"	-	
64742-81-0	"Kerosine (petroleum), hydrodesulfurized"	-	
64742-82-1	"Naphtha (petroleum), hydrodesulfurized heavy;"	-	
64742-87-6	"Gas Oil, Petroleum, Hydrodesulfurised, light vacuum"	-	
64742-88-7	"Solvent naphtha (petroleum), medium aliph."	-	
64742-89-8	"Solvent naphtha (petroleum), light aliph."	-	
64742-89-8	"Solvent naphtha (petroleum), light aliph."	-	
64742-94-5	"Solvent naphtha (petroleum), heavy arom"	-	
64742-94-5	"Solvent naphtha (petroleum), heavy arom.; Kerosine - unspecified"	-	
64742-94-5	"Solvent naphtha (petroleum), heavy arom.; Kerosine - unspecified"	-	
64742-94-5	"Solvent naphtha (petroleum), heavy arom.; Kerosine - unspecified"	-	
64742-95-6	"Solvent naphtha (petroleum), light arom."	-	
64742-95-6	"Solvent naphtha (petroleum), light aromatic"	-	
64742-95-6	"Solvent naphtha (petroleum), light arom."	-	
64742-96-7	Solvent naphtha (petroleum) heavy aliph.	-	
64771-72-8	"Paraffins (petroleum), normal C5-20"	-	
648-59-9	Methyl isopropylphosphonofluoridate	Methyl isopropylphosphonofluoridate	
6484-52-2	Ammonium Nitrate	-	
65-56-1	Anhydrotetracycline hydrochloride	-	
65-85-0	Benzoic Acid	-	
650-20-4	Ethyl ethylphosphonofluoridate	Ethyl ethylphosphonofluoridate	
65167-63-7	(R)-Ethyl S-2-diisopropylaminoethyl methylphosphonothiolate	(R)-Ethyl S-2-diisopropylaminoethyl methylphosphonothiolate	
65167-64-8	(S)-Ethyl S-2-diisopropylaminoethyl methylphosphonothiolate	(S)-Ethyl S-2-diisopropylaminoethyl methylphosphonothiolate	
65232-89-5	divanadyl pyrophosphate	-	
65332-44-7	"Bis(2-N,N-diisopropylaminoethyl)disulfide"	-	
65405-77-8	(Z)-3-hexenyl salicylate	-	
65659-19-0	"Dimethyl N,N-diethylphosphoramidate"	"Dimethyl N,N-diethylphosphoramidate"	
6581-06-2	3-Quinuclidinyl benzilate	3-Quinuclidinyl benzilate	
659-70-1	3-methylbutyl isovalerate	-	
65983-31-5	"2-[(3a,4,5,6,7,7a-hexahydro-4,7-methano-1H-inden-6-yl)oxy]ethyl acrylate"	-	
65996-93-2	"Pitch, coal tar, high-temp."	-	
65996-93-2	"Coal tar pitch volatiles, as benzene solubles"	Coal tar pitch volatiles	
65997-05-9	"Rosin, oligomers"	-	
65997-15-1	"Cement, Portland, Chemicals"	-	
65997-15-1	"Cement, portland, chemicals"	-	
65997-15-1	Portland Cement	-	
65997-16-2	"Cement, alumina, chemicals"	-	
65997-17-3	"Glass, oxide, chemicals,"	-	
660-21-9	"3,3-Dimethylbutyl methylphosphonofluoridate"	"3,3-Dimethylbutyl methylphosphonofluoridate"	
660-68-4	Diethylammonium chloride	-	
66022-44-4	O-Ethyl O-propyl methylphosphonothionate	-	
66089-80-3	O-Ethyl isopropylphosphonothionochloridate	-	
66295-41-8	"2-Methyl-1,3,2-dioxaphosphepane-2-sulfide"	-	
66295-42-9	"2-Methyl-1,3,2-dioxaphosphocane-2-sulfide"	-	
66295-45-2	"O,O-Diisopropyl methylphosphonothionate"	-	
66295-45-2	"O,O-Diisopropyl methylphosphonothionate"	-	
663176-00-9	"Phosphonic acid, methyl-, polyglycol ester"	"Phosphonic acid, methyl-, polyglycol ester"	
66348-71-8	1-Ethylpropyl methylphosphonofluoridate	1-Ethylpropyl methylphosphonofluoridate	
66455-29-6	"Betaines, C12-14-alkyldimethyl"	-	
665-03-2	Methyl ethylphosphonofluoridate	Methyl ethylphosphonofluoridate	
665-33-8	Isopropyl isopropylphosphonofluoridate	Isopropyl isopropylphosphonofluoridate	
6674-22-2	"1,8-diazabicyclo[5.4.0]undec-7-ene"	-	
67-56-1	Methanol	methanol	
67-63-0	Isopropyl Alcohol	propan-2-ol	
67-63-0	propan-2-ol isopropyl alcohol isopropanol	-	
67-63-0	Isopropyl alcohol	Isopropyl alcohol	
67-64-1	Acetone	Propanone	
67-66-3	Chloroform	Trichloromethane	
67-68-5	Dimethyl sulfoxide	-	
67-72-1	Hexachloroethane	"1,1,1,2,2,2-hexachloroethane"	
673-97-2	Ethyl methylphosphonofluoridate	Ethyl methylphosphonofluoridate	
673-98-3	S-Ethyl methylphosphonothiolofluoridate	-	
67397-57-3	O-Propyl ethylphosphinothionate	-	
67397-58-4	O-Isopropyl ethylphosphinothionate	-	
674-95-3	1-Methylhexyl methylphosphonofluoridate	1-Methylhexyl methylphosphonofluoridate	
6755-76-6	Bis(2-chloroethyl)sulfide-35S	Bis(2-chloroethyl)sulfide-35S	
676-83-5	Methylphosphonous dichloride	Methylphosphonous dichloride	
676-97-1	Methylphosphonic dichloride	Methylphosphonic dichloride	
676-98-2	Methylphosphonothioic dichloride	Methylphosphonothioic dichloride	
676-99-3	Methylphosphonic difluoride	Methylphosphonic difluoride	
676256-97-6	"S,S-Dibutyl propylphosphonodithiolate"	-	
676256-99-8	"S,S-Dibutyl isopropylphosphonodithiolate"	-	
676257-01-5	"S,S-Dipropyl propylphosphonodithiolate"	-	
676257-02-6	"S,S-Dipropyl isopropylphosphonodithiolate"	-	
676257-04-8	O-Ethyl O-trimethylsilyl methylphosphonothionate	-	
676257-05-9	Bis(trimethylsilyl) propylphosphonate	-	
676257-06-0	Bis(trimethylsilyl) isopropylphosphonate	-	
67634-00-8	Allyl (3-methylbutoxy)acetate	-	
676340-60-6	Dimethyl N-methyl-N-propylphosphoramidate	-	
676340-72-0	Diethyl N-methyl-N-propylphosphoramidate	-	
676340-74-2	Dipropyl N-methyl-N-propylphosphoramidate	-	
676340-76-4	Diisopropyl N-methyl-N-propylphosphoramidate	-	
676340-80-0	Diethyl N-isopropyl-N-methylphosphoramidate	-	
676340-82-2	Dipropyl N-isopropyl-N-methylphosphoramidate	-	
676340-84-4	Diisopropyl N-isopropyl-N-methylphosphoramidate	-	
677-42-9	Isopropylphosphonic difluoride	Isopropylphosphonic difluoride	
677-43-0	"N,N-Dimethylphosphoramidic dichloride"	"N,N-Dimethylphosphoramidic dichloride"	
67701-10-4	"Fatty acids, C8-18 and C18-unsatd., sodium salts"	-	
677354-98-2	Dibutyl 2-chlorovinylarsonodithiolite	-	
677355-05-4	Butyl bis(2-chlorovinyl)arsinothiolite	-	
67746-08-1	"Linseed oil, polymerized"	-	
67762-25-8	"Alcohols, C12-18"	-	
6779-09-5	Ethylphosphonic acid	Ethylphosphonic acid	
67812-17-3	Methyl 3-(trimethoxysilyl)propyl methylphosphonate	Methyl 3-(trimethoxysilyl)propyl methylphosphonate	
67859-63-6	(dimethylstannylene)bis(thioethylene) dioleate	-	
67891-79-6	"Distillates (petroleum), heavy arom."	-	
67968-63-2	AGNIQUE OAS 50K	-	
67989-52-0	"4,4'-Isopropylidenediphenol, oligomeric reaction products with 1-chloro-2,3-epoxypropane, reaction products with fatty acids, C18-unsatd., dimers"	-	
67989-52-0	"4,4'-Isopropylidenediphenol, oligomeric reaction products with 1-chloro-2,3-epoxypropane, reaction products with fatty acids, C18-unsatd., dimers"	-	
67989-52-0	"4,4'-Isopropylidenediphenol, oligomeric reaction products with 1-chloro-2,3-epoxypropane, reaction products with fatty acids, C18-unsatd., dimers"	-	
68-11-1	Thioglycolic acid	Mercaptoacetic acid	
68-12-2	dimethylformamide	"N,N-dimethylformamide"	
68-12-2	Dimethylformamide	"N,N-dimethylformamide"	
680-31-9	Hexamethyl phosphoramide	N-bis(dimethylamino)phosphoryl-N-methyl-methanamine	
68002-19-7	BUTYLATED FORMALDEHYDE UREA RESIN	-	
68002-19-7	Butylated formaldehyde urea resin	-	
68002-25-5	"1,3,5-TRIAZINE-2,4,6-TRIAMINE, POLYMER WITH FORMALDEHYDE, BUTYLATED"	-	
68002-97-1	"Alcohols, C10-16, ethoxylated"	-	
68002-97-1	"Alcohols, C10-16, ethoxylated"	-	
68037-01-4	"Dec-1-ene, homopolymer, hydrogenated Dec-1-ene, oligomers, hydrogenated"	-	
68037-40-1	Poly(4-styrenesulfonic acid-co-maleic acid) sodium salt	-	
68039-49-6	"2,4-dimethylcyclohex-3-ene-1-carbaldehyde"	-	
68081-81-2	"Benzenesulfonic acid, mono-C10-16-alkyl derivs., sodium salts"	-	
68082-29-1	"Fatty acids, C18-unsatd., dimers, oligomeric reaction products with tall-oil fatty acids and triethylenetetramine"	-	
68092-58-0	[No public or meaningful name is available]	-	
681-06-1	"O,O-Dimethyl methylphosphonothionate"	-	
681-84-5	Methyl silicate	Methyl salicylate	
68131-39-5	"Alcohols, C12-15, ethoxylated"	-	
68131-73-7	"amines, polyethylenepoly-"	-	
68139-30-0	"1-Propanaminium, N-(3-aminopropyl)-2-hydroxy-N,N-dimethyl-3-sulfo-, N-coco acyl derivs., hydroxides, inner salts"	-	
68155-66-8	"1-(1,2,3,5,6,7,8,8a-octahydro-2,3,8,8-tetramethyl-2-naphthyl)ethan-1-one"	-	
68186-90-3	Chrome antimony titanium buff rutile	-	
682-89-3	O-Ethyl ethylphosphonothionofluoridate	-	
68227-33-8	"2,5,8,11-tetramethyldodec-6-yne-5,8-diol"	-	
683-08-9	Diethyl methylphosphonate	Diethyl methylphosphonate	
683-25-0	Methyl propyl methylphosphonate	-	
683-32-9	Butyl methyl methylphosphonate	Butyl methyl methylphosphonate	
68307-94-8	"Phosphoric acid, mono- and di-C6-10-alkyl esters"	-	
68308-54-3	"Glycerides, tallow mono-, di- and tri-, hydrogenated"	-	
68308-64-5	"Quaternary ammonium compounds, coco alkylethyldimethyl, Et sulfates"	-	
68333-79-9	"Polyphosphoric acids, ammonium salts"	-	
68334-30-5	"Fuels, diesel"	-	
68334-30-5	"Fuels, diesel Gasoil - unspecified"	-	
68334-30-5	"Fuels, diesel"	-	
6834-92-0	Disodium metasilicate	-	
6834-92-0	Disodium metasilicate	-	
68390-98-7	ALKYL QUARTERNARY AMMONIUM CLAY	-	
68391-04-8	"Amines, C12-18-alkyldimethyl"	-	
684-16-2	Hexafluoroacetone	"1,1,1,3,3,3-hexafluoropropan-2-one"	
68409-80-3	"Fatty acids, C6-19-branched, calcium salts"	-	
68410-23-1	"Fatty acids, C18-unsatd., dimers, reaction products with polyethylenepolyamines"	-	
68410-23-1	"Fatty acid, c18-unsaturated, dimers, reaction products with polyethylenepolyamines"	-	
68411-30-3	"Benzenesulfonic acid, C10-13-alkyl derivs., sodium salts"	-	
68411-46-1	"Benzenamine, N-phenyl-, reaction products with 2,4,4-trimethylpentene"	-	
68411-46-1	"Benzenamine, N-phenyl-, reaction products with 2,4,4-trimethylpentene"	-	
68412-37-3	"Silicic acid (H4SiO4), tetraethyl ester, hydrolyzed"	-	
68412-54-4	"Nonylphenol, branched, ethoxylated"	-	
68412-54-4	"Nonylphenol, branched, ethoxylated"	-	
68412-60-2	"Phosphoric acid, mixed decyl, ethyl, octyl ester"	-	
68413-24-1	"Cashew, nutshell liq., oligomeric reaction products with 1-chloro-2,3-epoxypropane"	-	
68413-24-1	"Cashew, nutshell liq., oligomeric reaction products with 1-chloro-2,3-epoxypropane"	-	
68424-85-1	"Quaternary ammonium compounds, benzyl-C12-16-alkyldimethyl,chlorides"	-	
68424-85-1	"Quaternary ammonium compounds, benzyl-C12-16-alkyldimethyl, chlorides"	"N-Benzyl-N,N-dimethyltetradecan-1-aminium chloride"	
68425-44-5	"Amides, coco alkyl, N-(hydroxyethyl), ethoxylated"	-	
68439-46-3	"Alcohols, C9-11 ethoxylated, < 2.5 EO"	-	
68439-49-6	"Alcohols, C16-18, ethoxylated"	-	
68439-49-6	"Alcohols, C16-18, ethoxylated"	-	
68439-50-9	Alcohol C12-14 Poly(1-6) Ethoxylate	-	
68439-50-9	"Alcohols C12-14, ethoxylated"	-	
68439-51-0	"Alcohols, C12-14, ethoxylated propoxylated"	-	
68439-57-6	"Sulfonic acids, C14-16-alkane hydroxy and C14-16-alkene, sodium salts"	-	
68442-68-2	"Benzenamine, N-phenyl-, styrenated"	-	
68442-97-7	"1H-Imidazole-1-ethanamine, 4,5-dihydro-, 2-nortall-oil alkyl derivs."	-	
68442-97-7	"1H-Imidazole-1-ethanamine, 4,5-dihydro-, 2-nortall-oil alkyl derivs."	-	
68457-79-4	"Phosphorodithioic acid, mixed O,O-bis(iso-Bu and pentyl) esters, zinc salts"	-	
6846-50-0	"1-isopropyl-2,2-dimethyltrimethylene diisobutyrate"	-	
6846-50-0	"1-isopropyl-2,2-dimethyltrimethylene diisobutyrate"	-	
68476-32-4	"Fuel oil, residues-straight-run gas oils, high-sulfur"	-	
68476-33-5	"Fuel oil, residual"	-	
68476-33-5	"Fuel oil, residual"	-	
68476-33-5	"Fuel oil, residual"	-	
68476-34-6	"Fuels, diesel, No 2"	-	
68476-85-7	L.P.G. (Liquified petroleum gas)	-	
68476-85-7	"Petroleum gases, liquefied"	-	
68476-85-7	"Petroleum gases, liquefied"	-	
68476-86-8	"Petroleum gases, liquefied, sweetened Petroleum gas"	-	
68477-31-6	"Distillates (petroleum), catalytic reformer fractionator residue, low-boiling Gasoil - unspecified"	-	
68477-42-9	"Gases (petroleum), extractive, C3-5, butene-isobutylene-rich"	-	
68479-98-1	diethylmethylbenzenediamine	-	
68479-98-1	Diethylmethylbenzenediamine	-	
68512-30-1	"Phenol, methylstyrenated"	-	
68512-62-9	"Residues (petroleum), light vacuum"	-	
68515-48-0	"1,2-benzenedicarboxylic acid, di-C8-10-branched alkyl esters,C9 rich"	-	
68515-49-1	"1,2-Benzenedicarboxylic acid, di-C9-11-branched alkyl esters, C10-rich"	-	
68515-73-1	"D-Glucopyranose, oligomers, decyl octyl glycosides"	-	
68515-73-1	"D-Glucopyranose, oligomers, decyl octyl glycosides"	-	
68515-73-1	"D-Glucopyranose, oligomers, decyl octyl glycosides"	-	
68515-73-1	"D-Glucopyranose, oligomers, decyl octyl glycosides"	-	
68515-73-2	GLUCOPON 225 DK	-	
68527-77-5	"2,4,6-trimethylcyclohex-3-ene-1-methanol"	-	
68551-12-2	"Alcohols, C12-16, ethoxylated"	-	
68551-41-7	"Fatty acids, C6-19-branched, calcium salts, overbased"	-	
68553-00-4	"Fuel oil, No 6 Heavy Fuel oil"	-	
68584-22-5	"Benzenesulfonic acid, C10-16-alkyl derivs."	-	
68584-24-7	"Benzenesulfonic acid, C10-16-alkyl derivs., compds. with 2-propanamine"	-	
68584-24-7	"Benzenesulfonic acid, C10-16-alkyl derivs., compds. with 2-propanamine"	-	
68585-34-2	"Alcohols, C10-16, ethoxylated, sulfates, sodium salts"	-	
68585-34-2	"Alcohols, C10-16, ethoxylated, sulfates, sodium salts"	-	
685889-15-0	Bis(O-tert-butyl) methylphosphonothionate	-	
68603-87-2	"Carboxylic acids, di-, C4-6"	-	
68606-26-8	"Hydrocarbons, C3"	-	
68606-76-8	"Naphthenic acids, compds. with 4,5-dihydro-2-nortall-oil alkyl-1H-imidazole-1-ethanol"	-	
68608-26-4	"Sulfonic acids, petroleum, sodium salts"	-	
68609-97-2	"oxirane,mono[(C12-14-alkyloxy)methyl]derivs"	-	
68609-97-2	"oxirane, mono[(C12-14-alkyloxy)methyl] derivs."	-	
68610-51-5	"Phenol, 4-methyl-, reaction products with dicyclopentadiene and isobutylene"	-	
68610-84-4	"Benzenesulfonic acid, propenated, calcium salt, overbased"	-	
68611-44-9	"Silane, dichlorodimethyl-, reaction products with silica"	-	
6864-37-5	"2,2'-dimethyl-4,4'-methylenebis(cyclohexylamine)"	-	
68648-87-3	"Benzene, C10-16-alkyl derivs."	-	
68649-42-3	"Phosphorodithioic acid, O,O-di-C1-14-alkyl esters, zinc salts"	-	
68649-42-3	Zinc alkyl dithiophosphate	-	
687-47-8	ethyl (S)-2-hydroxypropionate ethyl L-lactate ethyl-(S)-lactate	-	
68783-41-5	"Fatty acids, C18-unsatd., dimers, hydrogenated"	-	
68783-96-0	"Sulfonic acids, petroleum, calcium salts, overbased"	-	
68784-26-9	"Phenol, dodecyl-, sulfurized, carbonates, calcium salts, overbased"	-	
68815-51-0	"9-Octadecenoic acid (Z)-, reaction products with 2-[(2-aminoethyl)amino]ethanol"	-	
68815-56-5	"Alcohols, C10-16, ethoxylated, sulfosuccinates, disodium salts"	-	
688299-03-8	2-(N-Isopropyl-N-propylamino)ethylchloride	2-(N-Isopropyl-N-propylamino)ethylchloride	
68845-16-9	"N,N'-bis[3-(trimethoxysilyl)propyl]ethylenediamine"	-	
68855-45-8	"Phenol, dodecyl-, sulfurized, calcium salts"	-	
68855-56-1	"Alcohols, C12-16"	-	
68891-38-3	"Alcohols, C12-14, ethoxylated, sulfates, sodium salts"	-	
68912-13-0	"3a,4,5,6,7,7a-hexahydro-4,7-methano-1H-indenyl propionate"	-	
68919-39-1	Natural gas condensates	-	
68920-66-1	EMULAN OC	-	
68937-41-7	"Phenol, isopropylated,phosphate (3:1)"	-	
68937-41-7	Mixture of isopropylated triaryl ester & dimethyl methylphosphonate	Mixture of isopropylated triaryl ester & dimethyl methylphosphonate	
68937-96-2	"Polysulfides, di-tert-Bu"	-	
68938-15-8	"Fatty acids, coco, hydrogenated"	-	
68953-36-6	"Fatty acid, tall-oil, reaction products with tetraethylenepentamine"	-	
68953-58-2	"Quaternary ammonium compounds, bis(hydrogenated tallow alkyl)dimethyl, salts with bentonite"	-	
68955-35-1	"Naphtha (petroleum), catalytic reformed"	-	
68955-35-1	"Naphtha (petroleum), catalytic reformed Low boiling point cat-reformed naphtha"	-	
